IID_Bootstrap_Means,Block_Bootstrap_Means
14.540679051889814,14.750160153747597
14.245996156310058,14.32158872517617
13.914157591287637,14.7014734144779
15.557975656630365,14.746316463805252
14.757206918641897,15.426008968609866
14.727738629083921,13.840486867392697
14.830237027546445,13.957719410634208
14.573991031390134,14.665598975016016
14.28122998078155,13.377322229340166
14.309417040358744,14.262011531069827
14.488148622677771,14.283792440743113
14.949391415759129,14.496476617552851
14.79308135810378,15.203715566944267
14.948750800768739,14.05701473414478
14.333760409993594,14.896860986547086
14.36386931454196,12.956438180653427
14.282511210762332,13.474695707879563
14.012812299807816,13.35618193465727
13.754003843689942,13.741191543882127
14.921204356181935,14.407431133888533
14.795643818065344,15.155028827674567
14.766816143497758,13.349135169762972
15.079436258808457,15.366431774503523
14.639333760409993,14.758488148622678
15.402306213965407,13.672645739910314
14.444586803331198,13.998078155028828
14.23126201153107,17.15695067264574
15.03395259449071,14.508648302370275
15.197309417040358,15.405509288917361
14.916079436258808,17.432415118513774
15.542600896860986,15.012171684817424
15.073030108904549,13.57783472133248
14.780909673286354,13.83472133247918
14.406790518898141,14.896220371556694
14.52914798206278,13.873158231902627
14.982703395259449,13.0903267136451
14.452914798206278,15.864830237027546
14.45419602818706,16.20691864189622
14.522741832158873,12.645739910313901
14.433055733504164,13.087123638693145
14.523382447149263,14.436258808456119
15.830237027546445,13.32222934016656
14.073030108904549,14.053811659192824
15.083920563741192,15.681614349775785
14.584881486226777,13.928891736066625
14.704676489429852,14.58680333119795
14.829596412556054,13.732222934016656
14.592568866111467,14.467008327994876
13.988468930172965,14.507367072389494
13.899423446508647,15.994234465086484
14.54644458680333,16.432415118513774
14.221652786675207,13.402946828955798
15.276745675848815,14.128763613068546
13.997437540038437,15.874439461883409
14.574631646380526,15.588084561178732
14.762972453555413,12.38116591928251
15.188340807174887,17.50224215246637
14.071108263933375,14.798206278026905
15.33760409993594,15.303010890454837
14.547085201793722,13.442664958360025
14.291479820627803,13.681614349775785
13.996796925048047,13.739269698910954
14.456758488148623,12.622677770659834
14.299807815502882,13.882126841768097
14.841127482383088,16.226777706598334
15.035233824471492,15.020499679692504
14.804612427930813,15.112748238308777
14.698910954516336,14.00064061499039
15.103139013452914,14.598975016015375
14.723254324151185,15.72709801409353
14.511210762331839,13.639974375400385
14.786675208199872,14.717488789237668
14.37988468930173,13.614990390775144
15.344650864830237,13.035874439461884
15.120435618193465,14.37091607943626
14.613709160794363,14.720051249199232
15.852658552210121,16.45291479820628
14.150544522741832,14.548366431774504
14.698910954516336,15.80973734785394
14.994234465086484,14.24727738629084
15.192825112107624,15.426649583600256
14.962203715566945,13.238949391415758
15.261370916079436,13.971812940422806
14.344010249839846,15.1319666880205
14.680333119795003,14.429212043561819
15.162075592568867,13.903267136450992
14.707238949391416,14.472133247918002
14.268417680973736,12.922485586162717
14.094811018577834,14.977578475336323
14.196668802049969,15.488148622677771
14.740550928891736,14.055733504163998
13.965406790518898,12.616912235746316
13.761050608584242,15.95900064061499
14.506085842408712,13.968609865470851
14.344010249839846,14.765534913516976
14.28122998078155,13.137732222934016
14.642536835361948,13.448430493273543
15.128763613068546,14.193465727098014
15.299167200512493,14.75208199871877
14.484945547725816,13.821909032671364
14.176169122357463,14.737988468930173
14.075592568866112,14.61883408071749
14.567584881486226,14.189622037155669
15.315182575272262,13.896220371556694
15.168481742472775,14.476617552850737
14.848174247277386,15.40422805893658
15.016655989750161,13.990390775144139
15.392056374119154,13.440743113388853
15.19859064702114,15.527866752081998
15.028827674567586,15.47149263292761
15.02498398462524,13.218449711723254
14.903907751441384,15.262011531069827
