Date,Russia_Total,Ukraine_Total,Russia_Destroyed,Ukraine_Destroyed,Russia_Damaged,Ukraine_Damaged,Russia_Abandoned,Ukraine_Abandoned,Russia_Captured,Ukraine_Captured,Russia_Tanks,Ukraine_Tanks,Russia_AFV,Ukraine_AFV,Russia_IFV,Ukraine_IFV,Russia_APC,Ukraine_APC,Russia_Artillery,Ukraine_Artillery,Russia_Aircraft,Ukraine_Aircraft,Russia_Vehicles,Ukraine_Vehicles,Russia_Antiair,Ukraine_Antiair,Russia_Engineering,Ukraine_Engineering,Russia_Logistics,Ukraine_Logistics,month
2022-06-01,14,2,12,3,0,0,0,0,5,0,5,0,1,1,6,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2022-06
2022-06-02,6,0,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2022-06
2022-06-03,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-04,24,8,17,6,1,0,2,0,4,2,10,3,3,0,4,1,0,1,1,1,1,0,2,2,0,0,0,0,1,0,2022-06
2022-06-05,0,3,2,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2022-06
2022-06-06,8,4,6,2,1,0,0,0,2,2,2,0,0,2,4,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,2022-06
2022-06-07,9,2,7,2,1,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2022-06
2022-06-08,17,0,16,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,2022-06
2022-06-09,2,3,3,0,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2022-06
2022-06-10,33,5,30,3,1,2,2,0,0,0,4,1,2,0,5,0,1,0,1,2,2,1,10,0,0,0,0,0,0,0,2022-06
2022-06-11,6,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2022-06
2022-06-12,26,0,20,0,2,0,0,0,4,0,7,0,4,0,2,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,2022-06
2022-06-13,11,4,9,2,0,0,2,0,0,2,0,0,4,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2022-06
2022-06-14,4,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-15,0,7,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2022-06
2022-06-16,-9,1,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2022-06
2022-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-18,-7,0,12,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,17,0,2022-06
2022-06-19,22,13,18,9,0,1,0,0,6,3,5,2,2,1,11,3,1,1,3,0,2,1,2,0,0,0,0,2,0,3,2022-06
2022-06-20,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-21,16,10,13,8,2,0,1,2,0,0,3,2,1,0,8,4,0,0,0,2,3,0,1,2,0,0,0,0,0,0,2022-06
2022-06-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-06-26,9,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,1,0,2022-06
2022-06-27,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2022-06
2022-06-28,71,14,55,8,4,1,1,0,11,5,34,2,22,0,14,2,3,0,5,1,3,3,5,0,0,0,2,1,3,1,2022-06
2022-06-29,48,1,42,1,2,0,7,0,0,0,4,0,10,0,28,0,1,0,6,0,0,0,0,1,0,0,2,0,3,0,2022-06
2022-06-30,-1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06
2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07
2022-07-02,58,2,47,2,6,0,0,0,5,0,13,0,10,0,9,0,1,0,1,2,1,0,15,0,0,0,1,0,2,0,2022-07
2022-07-03,-1,8,0,4,0,1,0,0,2,3,3,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2022-07
2022-07-04,7,-2,8,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,2,0,2,0,2,0,0,0,1,0,2022-07
2022-07-05,12,0,8,0,2,0,0,0,2,0,3,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2022-07
2022-07-06,5,2,7,2,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2022-07
2022-07-07,31,13,23,11,4,0,0,0,4,2,12,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,2022-07
2022-07-08,20,4,20,2,0,0,2,0,1,2,5,2,1,0,5,2,0,0,0,0,0,0,11,0,1,0,0,0,0,0,2022-07
2022-07-09,16,0,14,0,0,0,0,0,2,0,4,0,4,0,3,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,2022-07
2022-07-10,6,7,4,7,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2022-07
2022-07-11,19,20,16,5,1,0,0,0,2,15,7,3,2,3,2,5,0,0,3,2,1,0,5,2,0,0,0,2,0,2,2022-07
2022-07-12,9,-1,4,0,0,0,0,0,5,0,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07
2022-07-13,14,3,13,3,0,0,1,0,0,0,0,0,3,0,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2022-07
2022-07-14,16,5,15,5,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,3,9,0,0,0,0,0,0,2,2022-07
2022-07-15,12,0,10,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2022-07
2022-07-16,13,3,12,2,0,0,0,0,1,1,3,0,4,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2022-07
2022-07-17,10,2,9,2,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,2022-07
2022-07-18,-24,3,0,2,0,0,0,0,0,1,0,1,0,0,25,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,2022-07
2022-07-19,19,1,15,1,0,0,0,0,5,0,4,1,4,0,2,0,1,0,1,0,3,0,0,0,1,0,2,0,5,0,2022-07
2022-07-20,11,38,11,25,0,0,0,0,0,13,3,10,0,4,2,6,1,4,2,0,0,0,0,8,0,0,1,0,2,1,2022-07
2022-07-21,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2022-07
2022-07-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-07
2022-07-23,31,55,27,50,1,0,0,0,3,5,9,9,5,14,5,10,2,8,0,2,0,1,4,3,0,0,0,2,0,2,2022-07
2022-07-24,22,-1,43,0,0,0,0,0,0,0,3,0,1,0,7,0,0,0,2,0,2,0,4,0,2,0,0,0,0,0,2022-07
2022-07-25,8,9,5,8,0,0,0,0,4,1,2,2,2,0,0,1,0,0,1,0,0,1,3,5,0,0,1,0,1,0,2022-07
2022-07-26,10,4,6,3,0,0,0,0,4,1,5,1,0,0,3,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,2022-07
2022-07-27,132,0,121,0,0,0,3,0,8,0,6,0,0,0,12,0,6,0,2,0,0,0,101,0,0,0,3,0,6,0,2022-07
2022-07-28,9,4,7,3,1,0,1,0,0,1,2,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2022-07
2022-07-29,12,0,10,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,2022-07
2022-07-30,10,8,8,6,0,0,0,0,2,2,7,3,0,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2022-07
2022-07-31,23,2,19,1,0,0,0,0,4,1,6,0,1,0,2,0,0,0,2,1,1,1,5,0,1,0,0,0,2,0,2022-07
2022-08-01,13,6,8,3,1,0,0,0,4,3,4,0,2,0,3,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2022-08
